,SRR9091056,SRR9091059,SRR9091061,SRR9091062,SRR9091064,SRR9091066,SRR9091067,SRR9091068,SRR9091069,SRR9091075,SRR9091076,SRR9091077,SRR9091078,SRR9091079,SRR9091080,SRR9091087,SRR9091088,SRR9091090,SRR9091125,SRR9091130,SRR9091131,SRR9091132,SRR9091133,SRR9091136,SRR9091137,SRR9091138,SRR9091139,SRR9091145
ASV_1,844,12,100,24,5480,2264,2988,1778,1016,19,7,0,46,655,5,13922,16192,8094,38,12,16877,13793,17159,17626,3476,2305,12028,74
ASV_2,20192,11985,10814,6895,25,1090,4467,3978,2849,1497,729,117,4073,1757,18,17,72,22,417,8,4749,750,10481,69,42,469,109,79
ASV_3,3378,8810,5634,3471,0,679,7001,5897,6195,865,147,70,2188,358,11,0,0,0,306,0,4648,2325,3314,18,25,111,16,47
ASV_4,29,63,334,734,12525,9906,118,82,141,1829,28,4,753,720,4,114,353,67,6824,3,41,46,173,117,145,212,63,3649
ASV_5,179,246,553,593,837,102,260,88,504,1048,120,39,981,6391,17,1091,1177,954,512,0,255,264,637,2021,4054,9085,3059,57
ASV_6,72,102,154,176,1165,1709,234,212,710,448,60,20,433,2429,22,951,947,13630,91,3,102,139,322,599,3811,4322,2048,57
ASV_7,205,0,689,101,0,2216,347,3350,1192,45,19,0,266,0,0,0,0,0,29,2,6312,6441,6475,14,5,2,31,143
ASV_8,14,64,243,429,4178,248,37,0,50,1388,61,15,830,3013,9,295,729,44,3658,0,29,101,115,388,642,861,312,2804
ASV_9,4,113,92,171,5389,33,3,11,16,45,0,9,48,118,4,216,1086,241,8488,0,5,10,469,2,14,12,0,1762
ASV_10,227,174,235,265,1675,803,1289,345,1777,147,21,9,206,474,0,1336,1126,650,130,0,78,169,119,1422,1013,883,567,26
ASV_11,351,172,519,353,69,2618,3117,1048,1068,129,45,4,332,297,0,15,108,16,62,0,786,186,1026,89,57,23,38,1070
ASV_12,21,23,69,47,2000,1070,260,163,389,65,15,2,149,489,0,749,1040,608,3650,0,186,41,395,74,716,825,167,279
ASV_13,16,69,517,279,476,628,43,0,11,1200,11,4,1850,3382,4,218,900,67,1241,0,25,31,80,108,282,40,44,730
ASV_14,102,36,262,237,8,1860,3287,1525,2096,44,0,4,81,295,0,3,14,0,5,0,338,97,985,10,0,0,6,55
ASV_15,304,89,205,220,1906,611,193,54,141,285,37,6,364,746,4,272,297,166,1199,0,110,99,192,443,745,1658,572,289
ASV_16,10,18,111,117,1459,3160,41,17,76,253,14,3,208,440,3,8,18,2,1538,0,16,33,23,84,336,204,41,2775
ASV_17,476,0,452,351,101,2403,92,447,838,74,115,10,201,1063,6,7,358,9,57,4,137,65,90,1566,17,414,535,130
ASV_18,205,170,305,228,832,137,666,176,394,269,27,4,315,1213,0,531,657,353,385,0,144,237,286,433,506,857,340,57
ASV_19,30,90,15,0,0,11,344,213,393,31,11,3,36,432,0,1717,3198,584,18,0,212,474,288,362,222,726,185,20
ASV_20,54,0,270,43,0,2,21,21,45,18,8,0,125,129,0,0,0,0,9,0,4926,1398,2032,6,1,2,0,5
ASV_21,28,145,232,55,0,0,0,0,1,218,20,2,425,388,1,0,0,0,3903,0,56,44,93,343,973,1232,213,133
ASV_22,0,7,0,3,0,0,232,15,21,0,0,0,0,0,0,0,0,0,388,0,11,0,0,433,1985,3099,1514,0
ASV_23,74,76,135,315,135,110,717,167,810,497,32,13,216,509,14,113,227,94,79,0,76,150,146,112,600,511,326,230
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141,230,1048,5,0,0,0,4
ASV_25,56,3,62,18,0,18,30,12,33,9,0,0,11,0,0,0,5,0,10,0,73,44,62,12,16,0,1,4889
ASV_26,31,76,68,54,53,292,130,21,75,255,45,0,422,70,9,384,791,236,210,0,254,62,118,73,443,594,65,246
ASV_27,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,51,0,0,0,0,0,0,1,0,4488
ASV_28,89,67,109,127,144,37,213,47,99,231,14,4,262,392,0,656,899,151,244,0,17,17,41,39,101,292,78,97
ASV_29,0,0,9,5,90,3082,26,0,10,24,2,0,36,5,0,14,0,24,845,0,0,13,0,0,0,1,7,152
ASV_30,15,31,46,89,131,31,108,74,120,164,17,6,95,350,0,201,305,113,35,0,56,77,161,222,499,536,376,36
ASV_31,0,7,0,13,595,1384,28,0,18,30,5,0,25,163,0,18,13,29,573,0,14,9,51,0,81,135,14,581
ASV_32,0,0,7,24,56,3,3,2,9,19,1,0,15,18,0,203,124,217,129,0,0,10,15,186,1162,1082,482,4
ASV_33,116,29,114,56,0,0,90,43,227,16,2,0,34,0,0,0,0,0,14,0,996,107,1312,4,34,5,23,248
ASV_34,79,28,79,61,81,27,365,187,396,107,8,0,132,370,0,261,268,224,69,0,65,71,30,58,150,77,81,27
ASV_35,0,0,0,0,612,273,88,36,63,0,0,0,0,0,0,377,1001,461,30,0,2,15,0,0,88,0,30,0
ASV_36,0,0,5,8,0,0,22,9,334,5,1,0,0,0,1,0,0,0,0,0,35,69,2419,0,5,0,20,31
ASV_37,0,0,8,0,321,8,7,0,14,10,0,0,15,0,0,115,153,150,146,0,17,10,14,367,230,611,278,0
ASV_38,36,36,45,50,57,5,549,60,240,90,5,0,100,235,0,104,189,46,18,0,33,78,37,44,119,103,67,6
ASV_39,0,5,28,37,306,56,0,0,0,93,19,6,112,815,4,13,10,0,125,0,7,0,15,19,23,21,13,405
ASV_40,0,0,13,0,2,23,96,178,670,0,0,0,6,1086,0,3,0,0,44,0,0,0,0,0,0,0,0,6
ASV_41,0,0,64,24,21,662,22,0,9,0,0,0,47,366,0,2,87,0,5,0,0,26,0,500,0,41,178,19
ASV_42,0,0,17,10,0,0,5,0,307,0,0,0,10,0,0,0,0,0,0,0,390,796,482,0,0,0,13,2
ASV_43,11,13,28,18,931,379,19,6,28,56,7,0,61,134,0,39,64,1,18,0,0,31,30,27,37,41,33,19
ASV_44,38,121,52,69,27,17,41,31,82,74,5,2,59,177,1,173,205,88,0,0,38,22,86,60,138,203,126,3
ASV_45,87,80,41,91,72,10,137,45,68,107,7,2,65,270,5,12,46,25,35,1,52,244,174,60,106,31,35,11
ASV_46,4,0,9,5,147,9,63,12,17,20,1,0,21,19,0,89,133,23,74,0,10,0,28,290,464,351,115,14
ASV_47,0,0,28,38,205,67,0,0,0,69,0,0,125,843,0,0,0,0,73,2,0,0,0,0,41,0,0,424
ASV_48,20,0,35,51,42,20,234,76,113,72,0,0,79,212,2,195,370,78,30,0,7,25,5,4,44,46,29,0
ASV_49,0,0,0,0,198,46,124,32,35,22,0,0,27,143,0,243,316,155,121,0,0,3,0,38,119,39,37,10
ASV_50,1,47,5,14,0,1,99,2,75,45,4,0,25,32,1,18,81,8,6,0,5,200,11,62,400,349,94,17
