"SRR9091056","SRR9091059","SRR9091061","SRR9091062","SRR9091064","SRR9091066","SRR9091067","SRR9091068","SRR9091069","SRR9091075","SRR9091076","SRR9091077","SRR9091078","SRR9091079","SRR9091080","SRR9091087","SRR9091088","SRR9091090","SRR9091125","SRR9091130","SRR9091131","SRR9091132","SRR9091133","SRR9091136","SRR9091137","SRR9091138","SRR9091139","SRR9091145"
"ASV_1",0.0297791263848705,0.000461095100864553,0.00409282527728891,0.00137859727727038,0.123987510747093,0.0561257375179731,0.0945479859507009,0.0838679245283019,0.0382573332831269,0.00134684908201602,0.0038781163434903,0,0.00252027175104098,0.0147326750489215,0.0273224043715847,0.524053301212076,0.433567182563059,0.281844139564036,0.00100550381033023,0.333333333333333,0.351545575737377,0.450148493848112,0.32605556188956,0.585114858584517,0.130607950702638,0.0665492551102899,0.475358653124135,0.00250219787651315
"ASV_2",0.712440900430457,0.460518731988473,0.442598125486023,0.396059509449135,0.000565636454138196,0.0270216669145719,0.141347340442363,0.187641509433962,0.107278683586248,0.106117530304104,0.40387811634349,0.288177339901478,0.223153626999781,0.0395195573449695,0.0983606557377049,0.000639915681698411,0.00192791731376854,0.000766070060589178,0.0110340812870449,0.222222222222222,0.0989210131644726,0.0244770079305506,0.199160110971763,0.00229053246580799,0.00157811678064177,0.0135408245755861,0.00430778959016717,0.00267126530060188
"ASV_3",0.119187072189683,0.33852065321806,0.230589776122457,0.199379631225228,0,0.0168327631513709,0.221529601620099,0.278160377358491,0.23327183040253,0.0613170766286241,0.0814404432132964,0.172413793103448,0.119877273723428,0.00805236285116624,0.0601092896174863,0,0,0,0.0080969517358171,0,0.096817197133811,0.0758787245847068,0.062972675103561,0.000597530208471651,0.000939355226572481,0.00320475805520268,0.000632336086630044,0.00158923378643403
"ASV_4",0.00102321642791617,0.0024207492795389,0.013670036426145,0.0421621000631857,0.283383863523236,0.245574892161238,0.00373382273834763,0.00386792452830189,0.00530933463870166,0.12965194584249,0.0155124653739612,0.00985221674876847,0.0412557527942143,0.0161946962369824,0.0218579234972678,0.0042911992772717,0.00945215016333744,0.00233303154815795,0.180567315834039,0.0833333333333333,0.000854024329278454,0.0015012564864071,0.00328734845893665,0.00388394635506573,0.00544826031412039,0.00612079916849521,0.0024898233411058,0.123385406099953
"ASV_5",0.00631571519299979,0.00945244956772334,0.0226333237834077,0.0340628410592222,0.0189375084845468,0.0025286330507214,0.00822706705059646,0.00415094339622642,0.0189780472191889,0.0742893598922521,0.0664819944598338,0.0960591133004926,0.0537475345167653,0.143750421736881,0.092896174863388,0.0410675299254686,0.0315160927542441,0.033219583536458,0.0135478408128704,0,0.00531161473087819,0.0086159067915538,0.0121042830540037,0.0670893639622892,0.152325843540993,0.262299341725372,0.120894755562582,0.00192736863461148
"ASV_6",0.00254039940724014,0.0039193083573487,0.00630295092702493,0.0101097133666494,0.0263586587628399,0.0423669988596361,0.00740436034553682,0.01,0.0267349474714764,0.031757283618062,0.0332409972299169,0.0492610837438424,0.0237234275695814,0.0546346071661531,0.120218579234973,0.0357976360761876,0.0253574680019279,0.474615223901386,0.00240791701947502,0.0833333333333333,0.00212464589235127,0.00453640546979537,0.00611864857674914,0.0198844774930288,0.143195310738709,0.124783462293567,0.0809390190886456,0.00192736863461148
"ASV_7",0.00723308164561428,0,0.0281995661605206,0.00580159687517951,0,0.0549357925529278,0.0109799702559884,0.158018867924528,0.0448845878676055,0.00318990572056426,0.0105263157894737,0,0.0145737453429761,0,0,0,0,0,0.00076735817104149,0.0555555555555556,0.131478086985502,0.210208544107568,0.123038042032455,0.000464745717700173,0.000187871045314496,5.77433883820303e-05,0.00122515116784571,0.00483532832893758
"ASV_8",0.000493966551407805,0.00245917387127762,0.00994556542381206,0.024642426331208,0.0945291642155754,0.00614804898606773,0.00117077492643104,0,0.00188274277968144,0.0983908697809598,0.0337950138504155,0.0369458128078818,0.0454744685513916,0.0677703052250388,0.0491803278688525,0.0111044191824136,0.0195201628019065,0.00153214012117836,0.0967929720575783,0,0.000604065989001833,0.00329623706798081,0.00218523163455326,0.0128800956048334,0.0241226422183813,0.024858528698464,0.0123305536892859,0.0948130114289579
"ASV_9",0.00014113330040223,0.00434197886647454,0.0037653992551058,0.00982250560055144,0.12192859405403,0.00081808716346869,9.49276967376515e-05,0.000518867924528302,0.000602477689498061,0.00318990572056426,0,0.0221674876847291,0.00262984878369494,0.00265413077217211,0.0218579234972678,0.00813069336746217,0.0290794194826755,0.00839194930009053,0.224597798475868,0,0.000104149308448592,0.000326360105740674,0.00891194466613461,6.63922453857389e-05,0.000526038926880589,0.000346460330292182,0,0.0595793602488673
"ASV_10",0.00800931479782655,0.00668587896253602,0.00961813940162894,0.0152220116031938,0.0378976424272592,0.0199067876444048,0.0407872670316109,0.0162735849056604,0.0669126783898784,0.0104203586871766,0.0116343490304709,0.0221674876847291,0.0112864343633574,0.0106615083560134,0,0.0502898441617105,0.0301504846569914,0.0226338881537712,0.00343988145639289,0,0.00162472921179803,0.0055154857870174,0.00226123969140729,0.0472048864692604,0.0380626737807169,0.0254937059706664,0.0224084100699522,0.000879150605261378
"ASV_11",0.0123844471102957,0.0066090297790586,0.0212417631891295,0.0202768682865185,0.00156115661342142,0.0649015816351827,0.0986298769104199,0.0494339622641509,0.0402153857739956,0.00914439639895087,0.0249307479224377,0.00985221674876847,0.0181897874205567,0.00668031219775523,0,0.00056463148385154,0.00289187597065281,0.000557141862246675,0.00164055884843353,0,0.0163722712881186,0.00607029796677654,0.0194960665830578,0.00295445491966538,0.00214172991658526,0.000664048966393348,0.00150179820574635,0.0361804287549875
"ASV_12",0.000740949827111707,0.000883765609990394,0.00282404944132935,0.00269975300132116,0.0452509163310557,0.0265258565124696,0.00822706705059646,0.00768867924528302,0.0146477388259216,0.0046076415963706,0.00831024930747922,0.00492610837438424,0.0081634889327197,0.0109988978609505,0,0.0281939320936535,0.0278476945322123,0.0211713907653736,0.0965812870448772,0,0.00387435427428762,0.00133807643353676,0.00750579561433512,0.00245651307927234,0.0269031336890358,0.0238191477075875,0.00660000790420108,0.00943396226415094
"ASV_13",0.00056453320160892,0.00265129682997118,0.0211599066835837,0.0160261933482681,0.0107697180867913,0.0155684466260102,0.00136063031990634,0,0.000414203411529917,0.0850641525483802,0.00609418282548476,0.00985221674876847,0.101358755204909,0.0760700870464923,0.0218579234972678,0.00820597756530904,0.0240989664221068,0.00233303154815795,0.0328376375952583,0,0.00052074654224296,0.00101171632779609,0.00152016113708053,0.0035851812508299,0.0105959269557376,0.00115486776764061,0.00173892423823262,0.0246838439169541
"ASV_14",0.00359889916025686,0.00138328530259366,0.010723202226497,0.013613648113045,0.000181003665324223,0.046110367395508,0.104009113058887,0.0719339622641509,0.078924577324246,0.00311901892677394,0,0.00985221674876847,0.00443786982248521,0.00663532693043028,0,0.000112926296770308,0.00037487281101055,0,0.000132303132938188,0,0.00704049325112481,0.00316569302568454,0.018716984000304,0.000331961226928695,0,0,0.000237126032486266,0.00185974166497599
"ASV_15",0.0107261308305695,0.00341978866474544,0.00839029181844227,0.0126371417083118,0.0431241232634961,0.0151470077842233,0.00610701515678891,0.00254716981132075,0.00530933463870166,0.0202027362302403,0.0204986149584488,0.0147783251231527,0.0199430199430199,0.0167795047122068,0.0218579234972678,0.0102386509071746,0.00795265891929524,0.00578034682080925,0.0317262912785775,0,0.00229128478586902,0.00323096504683268,0.00364838672899327,0.0147058823529412,0.0279927857518599,0.0478692689687031,0.0226060150970241,0.0097720971123284
"ASV_16",0.000352833251005575,0.00069164265129683,0.00454303605779069,0.00672066172669309,0.0330105434635051,0.0783380435321533,0.0012973451887479,0.00080188679245283,0.00286176902511579,0.0179343588289502,0.00775623268698061,0.00738916256157635,0.0113960113960114,0.00989675881148924,0.0163934426229508,0.000301136791387488,0.000481979328442136,6.96427327808343e-05,0.0406964436917866,0,0.000333277787035494,0.00107698834894423,0.000437046326910653,0.00278847430620104,0.0126249342451341,0.00588982561496709,0.00162036122198949,0.0938324203692433
"ASV_17",0.0167948627478654,0,0.0184995702533459,0.0201619851800793,0.00228517127471831,0.0595716198125837,0.00291111603328798,0.0210849056603774,0.0315547689874609,0.00524562274048345,0.0637119113573407,0.0246305418719212,0.0110124917817226,0.0239096695832115,0.0327868852459016,0.000263494692464052,0.00958603331012692,0.000313392297513754,0.00150825571549534,0.111111111111111,0.00285369105149142,0.00212134068731438,0.0017101812792156,0.0519851281370336,0.000638761554069287,0.0119528813950803,0.0211437378966921,0.00439575302630689
"ASV_18",0.00723308164561428,0.00653218059558117,0.0124831170957312,0.0130966741340686,0.0188243811937192,0.00339630125440032,0.0210739486757586,0.00830188679245283,0.0148360131038897,0.0190685475295952,0.0149584487534626,0.00985221674876847,0.017258382642998,0.0272835646325828,0,0.0199879545283445,0.017592245488138,0.0122919423358173,0.0101873412362405,0,0.00299950008331945,0.00773473450605398,0.0054345760650629,0.0143739211260125,0.019012549785827,0.0247430419217,0.0134371418408884,0.00192736863461148
"ASV_19",0.00105849975301672,0.00345821325648415,0.000613923791593337,0,0,0.00027269572115623,0.0108850425592507,0.0100471698113208,0.0147983582482961,0.00219749060749982,0.00609418282548476,0.00738916256157635,0.0019723865877712,0.00971681774218943,0,0.0646314838515396,0.0856316606865528,0.0203356779720036,0.000476291278577477,0,0.0044159306782203,0.015469469012108,0.00547258009348991,0.0120169964148187,0.00834147441196363,0.020960849982677,0.00731138600165988,0.000676269696354906
"ASV_20",0.0019052995554301,0,0.0110506282486801,0.00246998678844276,0,4.95810402102236e-05,0.00066449387716356,0.000990566037735849,0.0016944685017133,0.0012759622882257,0.00443213296398892,0,0.00684856454087223,0.00290154974245934,0,0,0,0,0.000238145639288738,0,0.102607898683553,0.0456251427825463,0.0386120928818455,0.000199176736157217,3.75742090628992e-05,5.77433883820303e-05,0,0.000169067424088727
"ASV_21",0.000987933102815609,0.00557156580211335,0.00949535464331028,0.00315928542707795,0,0,0,0,3.76548555936288e-05,0.0154533210462891,0.0110803324099723,0.00492610837438424,0.0232851194389656,0.00872714186104051,0.00546448087431694,0,0,0,0.10327582557155,0,0.00116647225462423,0.00143598446525897,0.00176718732185612,0.0113862700836542,0.0365597054182009,0.0355699272433306,0.00841797415326246,0.00449719348076013
"ASV_22",0,0.000268972142170989,0,0.000172324659658797,0,0,0.00734107521437838,0.000707547169811321,0.000790751967466205,0,0,0,0,0,0,0,0,0,0.0102667231160034,0,0.000229128478586902,0,0,0.0143739211260125,0.074584804989855,0.0894733802979559,0.0598348021973679,0
"ASV_23",0.00261096605744125,0.00292026897214217,0.00552531412434003,0.0180940892641737,0.00305443685234626,0.0027269572115623,0.0226877195202987,0.00787735849056604,0.0305004330308393,0.0352307365137875,0.0177285318559557,0.0320197044334975,0.0118343195266272,0.0114487505342,0.0765027322404372,0.00425355717834826,0.00607829486424249,0.00327320844069921,0.00209038950042337,0,0.0015830694884186,0.00489540158611011,0.00277429407517197,0.00371796574160138,0.0225445254377395,0.0147534357316087,0.0128838477650871,0.00777710150808142
"ASV_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862564572571238,0.00750628243203551,0.019914110895755,0.000165980613464347,0,0,0,0.000135253939270981
"ASV_25",0.00197586620563122,0.000115273775216138,0.00253755167191913,0.00103394795795278,0,0.000446229361892012,0.000949276967376515,0.000566037735849057,0.00124261023458975,0.000637981144112852,0,0,0.000602673679596757,0,0,0,0.000133883146789482,0,0.000264606265876376,0,0.00152057990334944,0.00143598446525897,0.00117812488123741,0.000398353472314434,0.000601187345006388,0,3.95210054143777e-05,0.165314127273957
"ASV_26",0.00109378307811728,0.00292026897214217,0.00278312118855646,0.00310184387385835,0.00119914928277298,0.00723883187069265,0.00411353352529823,0.000990566037735849,0.00282411416952216,0.0180761324165308,0.0249307479224377,0,0.0231207538899847,0.00157448435637329,0.0491803278688525,0.0144545659865994,0.0211803138220961,0.00821784246813845,0.0055567315834039,0,0.00529078486918847,0.00202343265559218,0.00224223767719378,0.00242331695657947,0.0166453746148644,0.017149786349463,0.00256886535193455,0.00831811726516535
"ASV_27",0,0.000115273775216138,0.000163713011091557,0,0,0,0,0,0,0,0,0,0.000164365548980934,0,0,0,0,0,0.00134949195596952,0,0,0,0,0,0,2.88716941910151e-05,0,0.151754919862041
"ASV_28",0.00314021593394962,0.00257444764649376,0.00446117955224491,0.00729507725888908,0.00325806597583601,0.000917249243889137,0.00673986646837326,0.00221698113207547,0.00372783070376925,0.0163748493655632,0.00775623268698061,0.00985221674876847,0.0143545912776682,0.00881711239569041,0,0.024693216893774,0.0240721897927489,0.00525802632495299,0.00645639288738357,0,0.000354107648725212,0.000554812179759146,0.000779082582753772,0.00129464878502191,0.00379499511535282,0.00843053470377642,0.00308263842232146,0.0032799080273213
"ASV_29",0,0,0.000368354274956002,0.000287207766097995,0.00203629123489751,0.0764043829639546,0.000822706705059646,0,0.000376548555936288,0.0017012830509676,0.00110803324099723,0,0.0019723865877712,0.000112463168312378,0,0.000526989384928104,0,0.000835712793370012,0.0223592294665538,0,0,0.000424268137462877,0,0,0,2.88716941910151e-05,0.000276647037900644,0.00513964969229729
"ASV_30",0.000529249876508362,0.0011911623439001,0.0018826996275529,0.00511229823654432,0.00296393501968415,0.000768506123258466,0.00341739708255545,0.00349056603773585,0.00451858267123546,0.011625434181612,0.00941828254847645,0.0147783251231527,0.0052049090510629,0.00787242178186644,0,0.00756606188361063,0.00816687195415841,0.00393481440211714,0.000926121930567316,0,0.00116647225462423,0.00251297281420319,0.00305932428837457,0.00736953923781702,0.0187495303223867,0.0154752280863841,0.014859898035806,0.00121728545343883
